"account","n_res","n_oth","yrs_res_all","yrs_oth_all","yrs_res_min","yrs_oth_min","yrs_res_max","yrs_oth_max"
"0031670000009",1,0,"2015",NA,2015,NA,2015,NA
"0031780000011",1,0,"2013",NA,2013,NA,2013,NA
"0031820000005",1,0,"2015",NA,2015,NA,2015,NA
"0031840000001",0,1,NA,"2012",NA,2012,NA,2012
"0031930000001",0,1,NA,"2014",NA,2014,NA,2014
"0031940000003",1,0,"2015",NA,2015,NA,2015,NA
"0031960000028",1,0,"2013",NA,2013,NA,2013,NA
"0031980000001",1,0,"2013",NA,2013,NA,2013,NA
"0031980000012",1,0,"2012",NA,2012,NA,2012,NA
"0032020000010",1,0,"2006",NA,2006,NA,2006,NA
"0032030000003",0,1,NA,"2012",NA,2012,NA,2012
"0032040000014",1,0,"2013",NA,2013,NA,2013,NA
"0032150000021",1,0,"2007",NA,2007,NA,2007,NA
"0032160000002",1,0,"2008",NA,2008,NA,2008,NA
"0032160000022",1,0,"2010",NA,2010,NA,2010,NA
"0032180000023",1,0,"2010",NA,2010,NA,2010,NA
"0032200000031",1,0,"2015",NA,2015,NA,2015,NA
"0032270000016",0,1,NA,"2015",NA,2015,NA,2015
"0032370000004",1,0,"2009",NA,2009,NA,2009,NA
"0032370000027",1,0,"2011",NA,2011,NA,2011,NA
"0032380000019",0,1,NA,"2011",NA,2011,NA,2011
"0032380000021",2,0,"2012",NA,2012,NA,2012,NA
"0032380000030",1,0,"2014",NA,2014,NA,2014,NA
"0032380000032",1,0,"2014",NA,2014,NA,2014,NA
"0032380000051",1,0,"2009",NA,2009,NA,2009,NA
"0032430000002",1,0,"2014",NA,2014,NA,2014,NA
"0032470000063",1,0,"2015",NA,2015,NA,2015,NA
"0032540000002",0,1,NA,"2010",NA,2010,NA,2010
"0032540000004",0,1,NA,"2010",NA,2010,NA,2010
"0032540000005",1,0,"2013",NA,2013,NA,2013,NA
"0032550000009",1,0,"2008",NA,2008,NA,2008,NA
"0032550000133",1,0,"2008",NA,2008,NA,2008,NA
"0032550000145",1,0,"2013",NA,2013,NA,2013,NA
"0032590000003",0,1,NA,"2009",NA,2009,NA,2009
"0032590000030",0,1,NA,"2010",NA,2010,NA,2010
"0032600000012",1,0,"2009",NA,2009,NA,2009,NA
"0032600000019",1,0,"2012",NA,2012,NA,2012,NA
"0040200000010",1,0,"2014",NA,2014,NA,2014,NA
"0040240000003",1,0,"2011",NA,2011,NA,2011,NA
"0040240000008",1,0,"2007",NA,2007,NA,2007,NA
"0040290000010",1,0,"2014",NA,2014,NA,2014,NA
"0040320000006",1,0,"2005",NA,2005,NA,2005,NA
"0040440000004",1,0,"2013",NA,2013,NA,2013,NA
"0040490000004",1,0,"2015",NA,2015,NA,2015,NA
"0040490000008",1,0,"2015",NA,2015,NA,2015,NA
"0040560000009",1,0,"2009",NA,2009,NA,2009,NA
"0040630000004",1,0,"2010",NA,2010,NA,2010,NA
"0040910000003",1,0,"2006",NA,2006,NA,2006,NA
"0040930000003",1,0,"2006",NA,2006,NA,2006,NA
"0040950000002",1,0,"2013",NA,2013,NA,2013,NA
"0040980000007",1,0,"2008",NA,2008,NA,2008,NA
"0040980000008",1,0,"2008",NA,2008,NA,2008,NA
"0040990000004",1,0,"2009",NA,2009,NA,2009,NA
"0041040000007",1,0,"2009",NA,2009,NA,2009,NA
"0041040000011",1,0,"2010",NA,2010,NA,2010,NA
"0041090000002",2,0,"2013",NA,2013,NA,2013,NA
