"account","permitID","agencyID","permitStatus","desc","stateClass","permitType","propertyType","issueDate","year","siteNo","sitePrefix","siteStreet","siteType","siteSuffix","siteApt"
"0020410000001","1414835","061","C","DEMO RES/SEWER DISC",NA,"33",NA,"08/26/2014",2015,"1512",NA,"HUTCHINS",NA,"ST",NA
"0020420000006","1260829","061","C","DEMO COM/SEWER DISC",NA,"33",NA,"02/21/2011",2012,"2011",NA,"LEELAND",NA,"ST",NA
"0020480000002","1401055","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"05/19/2014",2015,"1521",NA,"AUSTIN",NA,"ST","100"
"0020480000002","1402144","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"05/19/2014",2015,"1521",NA,"AUSTIN",NA,"ST",NA
"0020480000002","1402145","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"05/19/2014",2015,"1521",NA,"AUSTIN",NA,"ST","SHELL"
"0020490000017","1428634","061","C","DEMO RES/SEWER DISC",NA,"33",NA,"08/20/2014",2015,"1302",NA,"LEELAND",NA,"ST",NA
"0020560000006","1250776","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"12/03/2010",2011,"2201",NA,"PEASE",NA,"ST",NA
"0020560000006","1250997","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"12/07/2010",2011,"2203",NA,"PEASE",NA,"ST","#2"
"0020560000006","1250999","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"12/07/2010",2011,"2201",NA,"PEASE",NA,"ST","#3"
"0020560000006","1251090","061","C","DEMO RES/ SEWER DISC",NA,"13",NA,"12/08/2010",2011,"2201",NA,"PEASE",NA,"ST","2"
"0020650000008","1234735","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"06/10/2010",2011,"1609",NA,"CAROLINE",NA,"ST",NA
"0020680000003","1","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"03/20/2013",2014,"1612",NA,"FANNIN",NA,"ST",NA
"0020690000003","1220011","061","C","DEMO BLD/ SEWER DISC",NA,"33",NA,"03/09/2010",2011,"900",NA,"LEELAND",NA,"ST",NA
"0020720000013","1198887","061","C","DEMO RESIDENCE/SEWER DISC",NA,"13",NA,"07/06/2009",2010,"2418",NA,"PEASE",NA,"ST",NA
"0020780000001","2","000","C","CK FOR DEMO","F1","33",NA,"06/24/2006",2007,NA,NA,NA,NA,NA,NA
"0020850000003","1164186","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"08/01/2008",2009,"1717",NA,"FANNIN",NA,"ST",NA
"0020910000009","1220342","061","C","DEMO BLD/ SEWER DISC",NA,"33",NA,"03/12/2010",2011,"2300",NA,"JEFFERSON",NA,"ST",NA
"0021020000001","1209120","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"10/15/2009",2010,"1217",NA,"ST JOSEPH",NA,"PK",NA
"0021020000006","1424197","061","C","DEMO COMM/SEWER DISC",NA,"33",NA,"11/17/2014",2015,"1811",NA,"SAN JACINTO",NA,"ST",NA
"0021150000001","1287509","061","C","DEMO RES/SEWER DISC",NA,"33",NA,"10/17/2011",2012,"1918",NA,"CHENEVERT",NA,"ST",NA
"0021180000009","1299587","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"02/16/2012",2013,"1800",NA,"ST JOSEPH",NA,"PK",NA
"0021260000003","1","000","C","DEMO","A1","13",NA,"01/01/2008",2008,NA,NA,NA,NA,NA,NA
"0021280000004","1208850","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"10/14/2009",2011,"2222",NA,"PIERCE",NA,"ST",NA
"0021470000006","1145575","061","C","RES DEMO / SEWER DISC",NA,"13",NA,"06/09/2008",2009,"2111",NA,"HUTCHINS",NA,"ST",NA
"0021470000009","1126025","061","C","DEMO RES/ SEWER DISC",NA,"13",NA,"06/04/2007",2008,"2107",NA,"HUTCHINS",NA,"ST",NA
"0021470000011","1139635","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"03/24/2008",2009,"2210",NA,"GRAY",NA,"ST",NA
"0021480000003","1389505","061","C","DEMO RES/ SEWER DISC",NA,"13",NA,"02/12/2014",2015,"2110",NA,"HUTCHINS",NA,"ST",NA
"0021580000001","1302264","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"03/05/2012",2013,"2111",NA,"FANNIN",NA,"ST",NA
"0021650000012","1391728","061","M","DEMO APT/SEWER DISC",NA,"33",NA,"03/13/2014",2016,"2211",NA,"HADLEY",NA,"ST",NA
"0021660000004","1",NA,"C","DEMO","B4","13",NA,"11/07/2008",2009,NA,NA,NA,NA,NA,NA
"0021660000004","1125797","061","C","DEMO RES/ SEWER DISC",NA,"13",NA,"04/30/2007",2009,"2204",NA,"HUTCHINS",NA,"ST",NA
"0021660000009","1400942","061","M","DEMO RES/SEWER DISC",NA,"13",NA,"05/16/2014",2016,"2205",NA,"ST EMANUEL",NA,"ST","BLD A"
"0021660000009","1400943","061","M","DEMO RES/SEWER DISC",NA,"13",NA,"05/16/2014",2016,"2205",NA,"ST EMANUEL",NA,"ST",NA
"0021730000013","1160593","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"07/02/2008",2011,"2202",NA,"LA BRANCH",NA,"ST",NA
"0021730000013","1247130","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"10/20/2010",2011,"2202",NA,"LA BRANCH",NA,"ST",NA
"0021780000009","1306114","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"04/04/2012",2013,"2211",NA,"TRAVIS",NA,"ST",NA
"0021780000009","1306115","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"04/04/2012",2013,"2211",NA,"TRAVIS",NA,"ST","A"
"0021830000007","1401520","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"05/22/2014",2015,"2202",NA,"POLK",NA,"ST",NA
"0021920000008","1192294","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"04/06/2009",2010,"1501",NA,"DOWLING",NA,"ST",NA
"0022030000001","1229003","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"04/28/2010",2011,"908",NA,"NAGLE",NA,"ST",NA
"0022070000002","1332206","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"11/09/2012",2014,"1314",NA,"NAGLE",NA,"ST",NA
"0022130000005","1310379","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"05/30/2012",2013,"2712",NA,"CAPITOL",NA,"ST",NA
"0022190000008","1392400","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"03/21/2014",2015,"2704",NA,"POLK",NA,"ST",NA
"0022190000008","1395552","061","C","DEMO BLD/NO SEWER INVOLVED",NA,"33",NA,"04/07/2014",2015,"2704",NA,"POLK",NA,"ST","BLD B"
"0022210000009","1246458","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"10/08/2010",2011,"2702",NA,"BELL",NA,"ST",NA
"0022210000009","1390903","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"03/03/2014",2015,"2708",NA,"BELL",NA,"ST",NA
"0022210000009","1390904","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"03/03/2014",2015,"2706",NA,"BELL",NA,"ST",NA
"0022210000009","1390905","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"03/03/2014",2015,"2704",NA,"BELL",NA,"ST",NA
"0022210000009","1390906","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"03/03/2014",2015,"2702",NA,"BELL",NA,"ST",NA
"0022210000009","1390907","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"03/03/2014",2015,"1507",NA,"NAGLE",NA,"ST",NA
"0022210000009","1390908","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"03/03/2014",2015,"1505",NA,"NAGLE",NA,"ST",NA
"0022220000001","1135755","061","C","DEMO BLD /SEWER DISC",NA,"33",NA,"02/01/2008",2010,"2801",NA,"CAPITOL",NA,"ST","BLD A"
"0022220000001","1215591","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"01/06/2010",2011,"2801",NA,"CAPITOL",NA,"ST",NA
"0022330000004","1215589","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"01/06/2010",2011,"2911",NA,"RUSK",NA,"ST",NA
"0022410000001","1206021","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"09/18/2009",2010,"803",NA,"ENNIS",NA,"ST",NA
"0022500000011","1397009","061","C","DEMO RES / SEWER DISC",NA,"33",NA,"04/25/2014",2015,"3111",NA,"POLK",NA,"ST",NA
"0022600000004","1199079","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"07/08/2009",2010,"1315",NA,"ROBERTS",NA,"ST",NA
"0022620000017","1207401","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"09/10/2009",2010,"1200",NA,"YORK",NA,"ST",NA
"0030040000004","1125957","061","C","DEMO RES / SEWER DISC",NA,"13",NA,"05/23/2007",2008,"904",NA,"SAMPSON",NA,"ST",NA
"0030160000002","1164828","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"08/12/2008",2009,"412","N","VELASCO",NA,"ST",NA
"0030220000003","1260269","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"02/10/2011",2012,"2012",NA,"NAGLE",NA,"ST","BLD B"
"0030220000004","1401204","061","M","DEMO RES/SEWER DISC",NA,"13",NA,"05/20/2014",2016,"2010",NA,"NAGLE",NA,"ST",NA
"0030220000006","1248919","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"11/02/2010",2011,"2007",NA,"LIVE OAK",NA,"ST",NA
"0030220000006","1248920","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"11/02/2010",2011,"2009",NA,"LIVE OAK",NA,"ST",NA
"0030270000001","1174625","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"12/04/2008",2009,"2515",NA,"JEFFERSON",NA,"ST",NA
"0030290000007","1205968","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"09/21/2009",2010,"1615",NA,"DOWLING",NA,"ST",NA
"0030290000007","1205969","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"09/21/2009",2010,"1613",NA,"DOWLING",NA,"ST",NA
"0030370000002","1427513","061","M","DEMO RES/SEWER DISC",NA,"13",NA,"12/23/2014",2016,"316",NA,"YORK",NA,"ST",NA
"0030370000008","1378594","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"11/22/2013",2014,"309",NA,"SAMPSON",NA,"ST",NA
"0030370000011","1373920","061","C","INTERIOR DEMO OF SHEETROCK",NA,"13",NA,"10/14/2013",2015,"3408",NA,"GARROW",NA,"ST",NA
"0030370000011","1378406","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"11/21/2013",2014,"3408",NA,"GARROW",NA,"ST",NA
"0030370000012","1378400","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"11/21/2013",2014,"3411",NA,"PRESTON",NA,"ST",NA
"0030400000008","1319537","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"08/02/2012",2013,"611",NA,"SAMPSON",NA,"ST",NA
"0030490000006","1","000","C","DEMO DWG FOR 2009","A1","13",NA,"08/26/2008",2009,NA,NA,NA,NA,NA,NA
"0030540000009","1214643","061","C","DEMO/SEWER DISC",NA,"13",NA,"12/16/2009",2011,"803",NA,"YORK",NA,"ST",NA
"0030570000014","1346681","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"03/18/2013",2014,"1119",NA,"YORK",NA,"ST",NA
"0030610000001","1302579","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"03/08/2012",2013,"1514",NA,"ENNIS",NA,"ST",NA
"0030640000006","1127220","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"10/10/2007",2009,"1411",NA,"PALMER",NA,"ST",NA
"0030640000006","1127221","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"10/10/2007",2009,"1409",NA,"PALMER",NA,"ST",NA
"0030640000010","1292189","061","C","RESIDENTIAL REPAIRS & RE ROOF",NA,"13",NA,"12/12/2011",2012,"3103",NA,"CLAY",NA,"ST",NA
"0030640000010","1295433","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"01/03/2012",2013,"3105",NA,"CLAY",NA,"ST",NA
"0030710000001","1213329","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"11/24/2009",2010,"101",NA,"PRESTON",NA,"ST",NA
"0030710000015","1","000","C","DEMO BLDG GONE","F1","33",NA,"09/23/2010",2011,NA,NA,NA,NA,NA,NA
"0031090000006","1391364","061","C","DEMO BLD/SEWER DISC NEEDED",NA,"33",NA,"03/07/2014",2015,"927",NA,"DART",NA,"ST",NA
"0031090000020","1368423","061","C","DEMO RES/SEWER DISCONNECT",NA,"13",NA,"09/03/2013",2014,"1210",NA,"ELDER",NA,"ST",NA
"0031390020034","1369377","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"09/13/2013",2014,"10530",NA,"HARTSOOK",NA,"ST",NA
"0031450190009","1320249","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"08/10/2012",2013,"9514",NA,"GALVESTON",NA,"RD",NA
"0031460210017","1399633","061","M","DEMO BLD (STAGE & CANOPY)/NO SEWER DISC NEEDED",NA,"33",NA,"05/02/2014",2016,"9130",NA,"GALVESTON",NA,"RD",NA
"0031560000002","1235706","061","C","DEMO BLDG/ SEWER DISC",NA,"33",NA,"06/24/2010",2011,"1515",NA,"KEENE",NA,"ST",NA
"0031560000002","1235751","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"06/25/2010",2011,"1515",NA,"KEENE",NA,"ST",NA
"0031600000005","2","000","C","DWG DEMO","C1","13",NA,"01/01/2014",2015,NA,NA,NA,NA,NA,NA
"0031600000011","2",NA,"C","DEMO","A1","13",NA,"02/04/2013",2013,NA,NA,NA,NA,NA,NA
"0031640000018","1218878","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"02/23/2010",2011,"1604",NA,"FULTON",NA,"ST",NA
"0031640000019","1244580","061","C","RES DEMO / SEWR DISC",NA,"13",NA,"09/27/2010",2011,"1125",NA,"BROOKS",NA,"ST",NA
"0031640000020","3","061","C","RES DEMO / SEWR DISC",NA,"13",NA,"09/27/2010",2011,"1125",NA,"BROOKS",NA,"ST",NA
"0031650000001","2","000","C","DEMO","A1","13",NA,"04/27/2007",2007,NA,NA,NA,NA,NA,NA
"0031670000002","1300599","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"02/23/2012",2013,"1612",NA,"GENTRY",NA,"ST",NA
